tm_inchikey	rxsmiles	route_index
BHKKSKOHRFHHIN-MRVPVSSYSA-N	[Cl:1][C:2]1[CH:3]=[CH:4][C:5]([CH2:25][N:26]2[C:31]3[CH:32]=[CH:33][NH:34][C:30]=3[C:29](=[O:35])[NH:28][C:27]2=[S:36])=[C:6]([C@H:8]([N:10](C(OC(C)(C)C)=O)C(OC(C)(C)C)=O)[CH3:9])[CH:7]=1>Cl.N.O>[NH2:10][C@@H:8]([C:6]1[CH:7]=[C:2]([Cl:1])[CH:3]=[CH:4][C:5]=1[CH2:25][N:26]1[C:31]2[CH:32]=[CH:33][NH:34][C:30]=2[C:29](=[O:35])[NH:28][C:27]1=[S:36])[CH3:9]	1
BHKKSKOHRFHHIN-MRVPVSSYSA-N	[C:1]([O:5][C:6]([N:8]([C:30]([O:32][C:33]([CH3:36])([CH3:35])[CH3:34])=[O:31])[C@@H:9]([C:11]1[CH:28]=[C:27]([Cl:29])[CH:26]=[CH:25][C:12]=1[CH2:13][NH:14][C:15]1[CH:19]=[CH:18][NH:17][C:16]=1[C:20](OCC)=[O:21])[CH3:10])=[O:7])([CH3:4])([CH3:3])[CH3:2].C([N:45]=[C:46]=[S:47])(=O)C1C=CC=CC=1>[Cs+].[Cs+].C([O-])([O-])=O.CC(O)=O.CO.O>[Cl:29][C:27]1[CH:26]=[CH:25][C:12]([CH2:13][N:14]2[C:15]3[CH:19]=[CH:18][NH:17][C:16]=3[C:20](=[O:21])[NH:45][C:46]2=[S:47])=[C:11]([C@H:9]([N:8]([C:6]([O:5][C:1]([CH3:3])([CH3:4])[CH3:2])=[O:7])[C:30]([O:32][C:33]([CH3:36])([CH3:35])[CH3:34])=[O:31])[CH3:10])[CH:28]=1 |f:2.3.4|	1
BHKKSKOHRFHHIN-MRVPVSSYSA-N	[Cl:22][C:23]1[CH:24]=[CH:25][C:26]([CH:46]=O)=[C:27]([C@H:29]([N:31]([C:39]([O:41][C:42]([CH3:45])([CH3:44])[CH3:43])=[O:40])[C:32]([O:34][C:35]([CH3:38])([CH3:37])[CH3:36])=[O:33])[CH3:30])[CH:28]=1.Cl.[NH2:2][C:3]1[CH:7]=[CH:6][NH:5][C:4]=1[C:8]([O:10][CH2:11][CH3:12])=[O:9]>C(N(C(C)C)C(C)C)C.[Na+].[B-]C#N.CC(O)=O.CCO.O>[C:42]([O:41][C:39]([N:31]([C:32]([O:34][C:35]([CH3:36])([CH3:38])[CH3:37])=[O:33])[C@@H:29]([C:27]1[CH:28]=[C:23]([Cl:22])[CH:24]=[CH:25][C:26]=1[CH2:46][NH:2][C:3]1[CH:7]=[CH:6][NH:5][C:4]=1[C:8]([O:10][CH2:11][CH3:12])=[O:9])[CH3:30])=[O:40])([CH3:45])([CH3:43])[CH3:44] |f:1.2,4.5|	1
BHKKSKOHRFHHIN-MRVPVSSYSA-N	BrC1[CH:23]=[CH:22][C:21]([Cl:24])=[CH:20][C:19]=1[C@H:25]([N:27]([C:35]([O:37][C:38]([CH3:41])([CH3:40])[CH3:39])=[O:36])[C:28]([O:30][C:31]([CH3:34])([CH3:33])[CH3:32])=[O:29])[CH3:26].C([SiH]([CH2:15][CH3:16])CC)C.[C]=[O:43]>CC(P(C(C)(C)C)C1C=CC(N(C)C)=CC=1)(C)C.CC(P(C(C)(C)C)C1C=CC(N(C)C)=CC=1)(C)C.Cl[Pd]Cl.C(N(C(C)C)C(C)C)C.CS(C)=O>[Cl:24][C:21]1[CH:22]=[CH:23][C:16]([CH:15]=[O:43])=[C:19]([C@H:25]([N:27]([C:35]([O:37][C:38]([CH3:41])([CH3:40])[CH3:39])=[O:36])[C:28]([O:30][C:31]([CH3:34])([CH3:33])[CH3:32])=[O:29])[CH3:26])[CH:20]=1 |f:3.4.5|	1
BHKKSKOHRFHHIN-MRVPVSSYSA-N	[Br:1][C:2]1[CH:7]=[CH:6][C:5]([Cl:8])=[CH:4][C:3]=1[C@H:9]([NH:11][C:12](=[O:18])[O:13][C:14]([CH3:17])([CH3:16])[CH3:15])[CH3:10].[O:25](C(OC(C)(C)C)=O)[C:26]([O:28][C:29]([CH3:32])([CH3:31])[CH3:30])=O>CN(C1C=CN=CC=1)C.CC1OCCC1>[Br:1][C:2]1[CH:7]=[CH:6][C:5]([Cl:8])=[CH:4][C:3]=1[C@H:9]([N:11]([C:26]([O:28][C:29]([CH3:32])([CH3:31])[CH3:30])=[O:25])[C:12]([O:13][C:14]([CH3:17])([CH3:16])[CH3:15])=[O:18])[CH3:10]	1
