tm_inchikey	rxsmiles	route_index
LFJQIBWZHWLOGT-UHFFFAOYSA-N	[Br:1][C:2]1[CH:3]=[C:4]2[N:10]=[C:9]([C:11]3[CH:16]=[CH:15][C:14]([O:17][CH2:18][CH2:19][CH2:20]Cl)=[CH:13][CH:12]=3)[NH:8][C:5]2=[N:6][CH:7]=1.[NH:22]1[CH2:26][CH2:25][CH2:24][CH2:23]1>>[Br:1][C:2]1[CH:3]=[C:4]2[N:10]=[C:9]([C:11]3[CH:16]=[CH:15][C:14]([O:17][CH2:18][CH2:19][CH2:20][N:22]4[CH2:26][CH2:25][CH2:24][CH2:23]4)=[CH:13][CH:12]=3)[NH:8][C:5]2=[N:6][CH:7]=1	1
LFJQIBWZHWLOGT-UHFFFAOYSA-N	[Br:1][C:2]1[CH:3]=[C:4]2[N:10]=[C:9]([C:11]3[CH:16]=[CH:15][C:14]([OH:17])=[CH:13][CH:12]=3)[NH:8][C:5]2=[N:6][CH:7]=1.Br[CH2:19][CH2:20][CH2:21][Cl:22]>>[Br:1][C:2]1[CH:3]=[C:4]2[N:10]=[C:9]([C:11]3[CH:12]=[CH:13][C:14]([O:17][CH2:19][CH2:20][CH2:21][Cl:22])=[CH:15][CH:16]=3)[NH:8][C:5]2=[N:6][CH:7]=1	1
