tm_inchikey	mean_similarity	std_similarity	triangular_simmx_size	route_type
QHQSWYIJDFMBNE-UHFFFAOYSA-N	0.11985559572973396	0.20759598137533458	3	evidence_lasm
VVPARGBRVKRZJC-UHFFFAOYSA-N	0.5773502691896257	0.0	1	evidence_lasm
VWNXCCTWVAQAPL-UHFFFAOYSA-N	0.0	0.0	3	evidence_lasm
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	0.5222329678670935	0.0	1	evidence_lasm
WDULTHSJTYQJMV-ONGXEEELSA-N	0.7385489458759964	0.0	1	evidence_lasm
WEEVXEKXCIBZMB-UHFFFAOYSA-N	0.5883036880224506	0.07647323707529784	3	evidence_lasm
WNSQJVPADMGXTG-URLMMPGGSA-N	0.4780914437337574	0.0	1	evidence_lasm
WTCXKDSZUHYCLH-UHFFFAOYSA-N	0.7669649888473704	0.0	1	evidence_lasm
WUFUURSWOJROKY-UHFFFAOYSA-N	0.19245008972987523	0.3333333333333333	3	evidence_lasm
ZKJVOFNXVHNODR-UHFFFAOYSA-N	0.2797929095770468	0.0	1	evidence_lasm
ZQXOMIPSVVBRGV-UHFFFAOYSA-N	0.3595732599803958	0.0	1	evidence_lasm
ZVERWTXKKWSSHH-UHFFFAOYSA-N	0.6900655593423543	0.0	1	evidence_lasm
BVKGNQRDVFGNIW-UHFFFAOYSA-N	0.0	0.0	3	evidence_inv
DJRUWESABPZMRB-UHFFFAOYSA-N	0.6324555320336759	0.0	1	evidence_inv
JACPDLJUQLKABC-UHFFFAOYSA-N	0.6324555320336759	0.0	1	evidence_inv
MGPKTKXUWSVAMY-UHFFFAOYSA-N	0.0	0.0	1	evidence_inv
WUFUURSWOJROKY-UHFFFAOYSA-N	0.0	0.0	1	evidence_inv
AAZPIQPULVRHOW-SFKJMYEFSA-N	0.3851693385691241	0.4330030801990858	45	predicted
AGOWMJFPYPUNRF-UHFFFAOYSA-N	0.7389202508228607	0.23409484980141634	45	predicted
AKPXFSXGGFHDMR-UHFFFAOYSA-N	0.5409580070833481	0.3577812143070272	45	predicted
ALQUTEKNDPODSS-UHFFFAOYSA-N	0.6325688294023422	0.1481879997147867	45	predicted
AVCXUODHLRZJJP-UHFFFAOYSA-N	0.6069101023595713	0.1301114938904591	45	predicted
AVHHJLURQYHHDR-UHFFFAOYSA-N	0.5164965251779485	0.28067791377927204	45	predicted
