tm	route_find_time_sec	synth_graph_assembly_time_sec
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	0.00145721435546875	0.010889291763305664
IXZILUICVMZFAS-UHFFFAOYSA-N	0.09691691398620605	3.165074110031128
GZYNUOMXGGSXMI-UHFFFAOYSA-N	0.006690025329589844	1.1509032249450684
WEEVXEKXCIBZMB-UHFFFAOYSA-N	0.005135059356689453	0.05554986000061035
VLYBAPCPKDLKOF-UHFFFAOYSA-N	0.0006909370422363281	0.002239227294921875
KJDKPNUDCPAPKM-UHFFFAOYSA-N	0.03545379638671875	3.1531927585601807
HDQNXIOVYVAKBX-UHFFFAOYSA-N	0.0006291866302490234	0.0033502578735351562
VTJXLVGZNOINAD-UHFFFAOYSA-N	0.001529693603515625	0.09143853187561035
BVKGNQRDVFGNIW-UHFFFAOYSA-N	0.008715152740478516	0.05897688865661621
IHXNMNXXLBANRT-UHFFFAOYSA-N	0.0015816688537597656	0.0346684455871582
DJRUWESABPZMRB-UHFFFAOYSA-N	0.005838871002197266	0.005238056182861328
PBLNHHSDYFYZNC-UHFFFAOYSA-N	0.032476186752319336	1.340083122253418
FNMOSYNODGOFRC-AWEZNQCLSA-N	0.0005710124969482422	0.0017421245574951172
OPYBJNYVSLHSQI-UHFFFAOYSA-N	0.005511045455932617	0.3751704692840576
MGPKTKXUWSVAMY-UHFFFAOYSA-N	0.009457826614379883	0.2677137851715088
IQNMCFJVBQJVNL-UHFFFAOYSA-N	0.0008952617645263672	0.05228567123413086
QHQSWYIJDFMBNE-UHFFFAOYSA-N	0.007939815521240234	0.07804203033447266
FZFXOEUVGCHONA-UHFFFAOYSA-N	0.0007178783416748047	0.003057241439819336
MVZQNMZKBOUDCI-UHFFFAOYSA-N	0.00061798095703125	0.0017962455749511719
OHWDZAOJWZFPOI-UHFFFAOYSA-N	0.0015249252319335938	0.03814125061035156
NMNZWFGWFXMILV-UHFFFAOYSA-N	0.0962989330291748	4.081306219100952
WUFUURSWOJROKY-UHFFFAOYSA-N	0.011104106903076172	0.4191932678222656
JACPDLJUQLKABC-UHFFFAOYSA-N	0.004591941833496094	0.0068073272705078125
NHVUPUQLKWAQMU-UHFFFAOYSA-N	0.0013599395751953125	0.1362323760986328
CYSOFAOLQAYKGU-UHFFFAOYSA-N	0.0014560222625732422	0.0567317008972168
HLXQFVUPAUJHJI-VIFPVBQESA-N	0.0028228759765625	0.21854352951049805
SMFTYTRLFIZIPU-NGZATLCBSA-N	0.0025877952575683594	0.004019975662231445
LYPSYIWSZQVHAB-UHFFFAOYSA-N	0.00152587890625	0.031855106353759766
UBKOYAUKDZMQDZ-UHFFFAOYSA-N	0.0004379749298095703	0.0021975040435791016
QIXXLCJOJGHZJB-UHFFFAOYSA-N	0.0005578994750976562	0.003967761993408203
ILMBNGXIGGVYQY-UHFFFAOYSA-N	0.003715038299560547	0.011608362197875977
DLLGXKPWXXZQFL-UHFFFAOYSA-N	0.0014772415161132812	0.05326223373413086
BIAAFFAHROMCHN-UHFFFAOYSA-N	0.0018749237060546875	0.150007963180542
NVTKJBXOBFRPLQ-UHFFFAOYSA-N	0.03302121162414551	1.9219911098480225
