inchikey	smiles
AAZPIQPULVRHOW-SFKJMYEFSA-N	COc1ccc(CO[C@H]2CC[C@@]3(C)C(=CC[C@H]4[C@@H]5CC[C@H](C(C)=O)[C@@]5(C)CC[C@@H]43)C2)cc1
ACMYXPZZKWSEOO-ROUUACIJSA-N	CC(C)(C)OC(=O)CC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)OC(C)(C)C
ADROYVWTRVGXHG-UHFFFAOYSA-N	COC(CC#N)=NC#N
AEMZJBZKICOPPC-DZDWSLRDSA-N	CC(C)(O)c1ccc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)F)n5)(CC3)CC4)C(=O)[C@H]3C[C@@](O)(C(F)(F)F)C3)c2)cc1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1
AISQMYCMHKTHHN-SSEXGKCCSA-N	O=C(O[C@H](Cc1ccc(O)cc1)C(=O)N1CCC(N2CCNCC2)CC1)N1CCC(N2CCc3ccccc3NC2=O)CC1
AKPXFSXGGFHDMR-UHFFFAOYSA-N	Cc1ccc(C(O)(c2ccccc2)c2ccncc2)cc1
AKQOBHZKBDHWQI-BZEFIUHZSA-N	[2H]C([2H])([2H])NS(=O)(=O)c1ccc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cc1
AKSVALRPYDVQBS-CABCVRRESA-N	C[C@H](c1ccc(Cl)cc1Cl)n1nc(C(F)(F)F)c2ncc(N3CC([C@H]4CCCN(CCO)C4)C3)nc21
ALQUTEKNDPODSS-UHFFFAOYSA-N	ON=Cc1ccnc2ccccc12
AMTXDBGKYPDTTA-SJVQGLCSSA-N	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F
ANPSFQZLPNWKHR-BPZFHHOVSA-N	Cc1nc(N2CC([C@H]3CCCN([C@H]4C[C@](C)(C(=O)O)C4)C3)C2)nc(N[C@H](C)c2ccc(Cl)cc2Cl)c1Cl
ARBRHWRTXPWZGN-UHFFFAOYSA-N	Cc1cc2c(C(N)=O)c(N)n(-c3c(C)ccc(O)c3C)c2nc1C
